date,Prophet_forecast,NeuralProphet_forecast,Ridge_forecast,LASSO_forecast,GBoosting_forecast,XGBoost_forecast,Ensemble_forecast,Stacking_ml_forecast,Stacking_dl_forecast,Stacking_ml_dl_forecast,RNN_forecast,LSTM_forecast,BidirectionalLSTM_forecast,close
2016-04-20,3008.7852699462937,3051.8212890625,2904.847135654111,2910.848756128106,2901.0456530083766,2897.4482,2901.1303467972466,,,,2935.568,2908.9685,2902.7605,2901.0
2016-04-21,3006.739289995616,3047.955810546875,2861.1096789075,2892.7579071421374,2889.80939018319,2884.3853,2874.3748191382138,,,,2921.549,2875.2065,2871.6023,2858.199951171875
2016-04-22,3003.440002640058,3042.317138671875,2899.5536182364535,2887.695446266274,2917.6231258993366,2929.0327,2932.3344184997054,,,,2890.2854,2857.9097,2821.7017,2946.0
2016-04-25,3003.5470571765773,3030.30810546875,2928.299901800574,2935.8740458376765,2943.1287496680175,2955.3044,2958.7673638301344,,,,2938.51,2876.9795,2857.0117,2967.0
2016-04-26,3015.159534977187,3038.5771484375,2984.039094766281,2963.3934348527446,2955.4552359750573,2949.8801,2951.992844709713,,,,2982.3794,2923.054,2883.4958,2954.0
2016-04-27,3014.670872825185,3033.29833984375,2944.471763560035,2939.8484062341836,2931.537853615136,2928.5554,2918.7700075899293,,,,2954.0906,2909.5098,2880.3088,2906.5
2016-04-28,3014.6053116151656,3029.91943359375,2896.0523935507404,2904.3974128275318,2907.2044145124496,2895.8567,2886.4441196880575,,,,2935.2415,2879.838,2861.695,2875.0
2016-04-29,3013.006516297963,3024.75537109375,2854.9783893212016,2875.3134052260107,2869.2237316862656,2860.8306,2854.773863627744,,,,2887.2493,2856.9954,2809.1208,2846.5
2016-05-02,3016.3078846079816,3014.02197265625,2827.2867436772885,2842.7557137999975,2852.53133391474,2836.7974,2827.0179572342586,,,,2897.1775,2813.5688,2824.9304,2811.199951171875
2016-05-03,3028.289781199424,3022.644287109375,2813.7831899803987,2816.579190333611,2841.9630221381844,2829.7014,2823.325040938064,,,,2892.2393,2809.308,2811.5007,2809.60009765625
2016-05-04,3027.8023688779026,3017.672119140625,2862.52300391351,2843.0708665619995,2913.471486356506,2924.0762,2937.4587458519886,,,,2874.857,2802.0376,2799.7976,2955.0
2016-05-05,3027.363877448407,3014.547119140625,2927.364322247649,2931.732360478676,2963.5361398571586,2952.1765,2953.017147782169,,,,2954.4753,2854.4333,2834.0134,2955.0
2016-05-06,3025.0165673940605,3009.57861328125,2995.9916460633167,2955.02314943011,2941.5435166123466,2949.965,2955.1820502101073,,,,2969.3503,2883.4893,2830.9172,2967.0
2016-05-09,3023.878800671312,2999.037841796875,2964.399012725203,2957.9985832094376,2947.6602677138535,2953.0317,2952.847628062814,,,,2988.6501,2893.329,2869.5476,2957.0
2016-05-10,3033.6955010086485,3007.580322265625,2974.8459985025656,2969.742672002474,2967.10968478948,2970.4395,2968.738552816745,,,,3001.635,2927.3616,2903.0112,2973.0
2016-05-11,3030.7360877992346,3002.451904296875,2954.7689501699715,2961.0010666227968,2962.522960546283,2955.1333,2948.7500413029793,,,,2980.3455,2914.3428,2898.5574,2937.0
2016-05-12,3027.5480945112463,2999.092529296875,2948.3260449943677,2937.6291858954287,2954.0714443740635,2949.3162,2948.955674971707,,,,2987.7083,2895.608,2892.8809,2946.0
2016-05-13,3022.2079980770204,2993.810546875,2951.9844179229335,2952.8727433336835,2955.0449903312383,2957.023,2972.8896576983343,,,,2984.8674,2915.9717,2871.9656,2986.0
2016-05-16,3011.04070884579,2981.85888671875,2965.966068349178,2974.611765907613,2969.3862516208633,2970.4226,2960.658125936292,,,,3013.0256,2927.064,2909.6917,2950.5
2016-05-17,3018.956550750881,2989.779052734375,2995.9878922643575,2966.148677773083,2977.217763844953,2983.3552,2993.8524200477,,,,3021.304,2936.88,2926.7302,3008.0
2016-05-18,3014.0831375937805,2983.95654296875,2998.4904107834464,3006.8526505745117,2991.654321711849,2986.5208,3005.493577822377,,,,3013.3489,2952.6274,2937.2292,3023.0
2016-05-19,3009.0214914739527,2979.8349609375,3045.8628513982876,3034.8633671098883,3023.2993765832994,3023.569,3039.534806193802,,,,3048.162,2968.514,2950.2185,3056.0
2016-05-20,3001.9021910161096,2973.7275390625,3052.471147484764,3049.321451080222,3042.7878156872644,3045.5508,3046.389362743852,,,,3055.64,2994.0522,2951.6506,3050.0
2016-05-23,2986.494103534445,2958.9716796875,3060.706172935377,3051.069352830854,3041.493963204453,3046.728,3049.327441476597,,,,3080.7288,2999.125,2984.0525,3052.0
2016-05-24,2991.8902302679408,2965.868896484375,3060.690492188336,3058.573409130645,3071.3987562492275,3055.26,3057.470889098292,,,,3093.4392,3028.6692,3011.8982,3062.0
2016-05-25,2984.8371924243484,2958.991455078125,3061.2021610625306,3058.7749299674233,3066.5033606021702,3069.8677,3064.4853452700986,,,,3080.9705,3024.4988,3017.405,3059.0
2016-05-26,2977.973243813025,2953.79052734375,3056.323127855815,3056.567083578354,3066.5033606021702,3069.8677,3060.5728127848297,,,,3093.6228,3017.751,3015.1897,3051.0
2016-05-27,2969.4600745725807,2946.5869140625,3058.3190641564793,3058.3203955705767,3066.5033606021702,3069.8677,3068.8657757375377,,,,3078.5203,3027.2065,2998.2903,3068.0
2016-05-30,2952.5248871962617,2928.528564453125,3041.8443467648135,3055.931525665438,3064.409578525823,3043.8184,3030.88727522494,,,,3094.6829,3022.8867,3015.4617,3017.39990234375
2016-05-31,2958.325098088122,2934.34912109375,3064.4325447704477,3045.8716651503787,3048.0290980325594,3060.209,3069.0150449435514,,,,3083.0037,3003.951,3072.6626,3088.0
2016-06-01,2952.125729326281,2926.421142578125,3074.4153514537807,3084.2981806334233,3070.3862115067323,3082.2563,3093.49553633549,,,,3088.7283,3016.1055,2999.5781,3112.0
2016-06-02,2946.547892346597,2921.832763671875,3108.9461199533184,3106.7179313056236,3077.633457163523,3085.6326,3082.000919726661,,,,3137.865,3049.4988,3019.2578,3081.60009765625
2016-06-03,2939.7276431693094,2918.369873046875,3063.784182413196,3068.654465366299,3067.878185281403,3057.204,3039.106132321688,,,,3112.1033,3045.5012,2992.9856,3012.0
2016-06-06,2929.9371276572706,2911.873779296875,3018.936431091669,3025.411812165074,3030.105245124673,3033.8257,3028.8763731739573,,,,3087.3367,3008.781,2985.927,3019.0
2016-06-07,2938.647654117436,2921.6865234375,2971.942454359827,3010.5879247971607,3013.6802170579476,2993.4392,2970.8189177086674,,,,3071.1033,3005.8398,2986.0183,2941.0
2016-06-08,2935.5287004234137,2917.8310546875,2907.126581382017,2929.758627142601,2904.880698920219,2886.253,2866.08294039054,,,,2997.445,2932.499,2931.1724,2827.0
2016-06-09,2933.1384907277843,2915.77294921875,2870.1699478822807,2867.4530098952514,2931.6382636352464,2925.3171,2931.7825420811378,,,,2949.6104,2860.8418,2865.8645,2940.0
2016-06-10,2929.547732646104,2911.84716796875,2901.679842642404,2940.08743829621,2954.5697556078294,2952.4744,2965.315425545957,,,,2964.8745,2899.2683,2859.674,2969.0
2016-06-13,2929.0355899632978,2904.55029296875,2999.494617894093,2971.228209804533,2970.682686002381,2975.755,2984.144367606216,,,,3013.1091,2907.2349,2877.4175,2995.0
2016-06-14,2940.48919594376,2914.301513671875,3008.334434647054,2985.7803848059402,2969.7398641502627,2981.856,2990.6462432644144,,,,3042.5125,2940.5498,2910.764,3003.0
2016-06-15,2939.8406339927283,2910.490478515625,2989.379040654569,2994.913147924318,2966.697611089926,2965.4678,2957.779895099594,,,,3029.863,2953.295,2917.2683,2952.0
2016-06-16,2939.5974654171187,2908.583251953125,2985.796290279615,2974.8936871588535,2982.2730102985474,2990.9648,2998.7923938919294,,,,3014.331,2925.4521,2901.3342,3013.0
2016-06-17,2937.7868034509875,2904.9140625,2970.4719891161285,2985.8951131811805,2996.8270648596085,2991.6035,2981.9321950403555,,,,3020.8704,2941.1821,2904.7185,2968.0
2016-06-20,2940.10402545082,2899.00634765625,2988.742445312152,2973.194705383227,2967.7682167288945,2971.1917,2968.7582751508576,,,,3029.617,2928.1162,2900.5327,2967.800048828125
2016-06-21,2951.6080954355093,2909.41796875,2954.8337721154203,2962.293457225052,2964.953060266407,2964.861,2954.4430016207643,,,,3034.9536,2945.2617,2913.3965,2949.300048828125
2016-06-22,2950.5611344769377,2906.35888671875,2938.969535085613,2941.20181408803,2952.714761279868,2945.3289,2932.151548793258,,,,3010.0222,2927.621,2903.1985,2916.699951171875
2016-06-23,2949.4846930621907,2905.29052734375,2898.0557261146564,2914.9646352743166,2917.426965369132,2901.2588,2893.96532881941,,,,2978.5962,2886.4243,2866.0872,2877.89990234375
2016-06-24,2946.4299867232153,2902.541259765625,2857.8167882005155,2876.612699863816,2868.3563701661938,2862.826,2852.518057903994,,,,2933.1804,2859.5205,2825.7312,2837.800048828125
2016-06-27,2942.931510160797,2899.81201171875,2924.495661317163,2897.121282736281,2985.4632700715656,2996.971,3024.579247231167,,,,2935.4456,2840.564,2822.1426,3057.0
2016-06-28,2951.970250989623,2911.397705078125,2982.694920168703,3017.185940508007,3013.734100036914,3020.9119,3000.507108926301,,,,3032.1003,2938.6165,2900.8162,2981.0
2016-06-29,2948.2949366849457,2909.556396484375,3029.483659039612,2977.045012851763,2965.0929355672574,2964.6658,2950.7804506031734,,,,3027.9443,2927.8384,2890.7424,2935.199951171875
2016-06-30,2944.4944206405526,2909.74072265625,2903.2484576383677,2923.214744691182,2922.573811140348,2913.322,2899.5781404015765,,,,2989.7788,2869.1792,2898.3691,2881.60009765625
2016-07-01,2938.6898442441993,2908.269775390625,2873.3259481428922,2897.1320933744682,2897.6078804586787,2883.3013,2880.4929378482275,,,,2893.5432,2876.185,2832.082,2871.800048828125
2016-07-04,2927.491516725183,2909.439453125,2861.737627295829,2876.616674121892,2872.2417717556664,2880.0474,2877.9128114967084,,,,2887.3313,2852.6504,2844.1172,2880.5
2016-07-05,2934.3720212850976,2922.31494140625,2892.5954579295367,2881.859693994685,2891.621407767358,2893.144,2898.0078695807433,,,,2912.6714,2864.5986,2862.7822,2909.60009765625
2016-07-06,2928.8448059336524,2921.743408203125,2915.2497238871415,2911.313236268894,2912.3234538470692,2914.1553,2921.98627029162,,,,2920.7021,2886.7834,2855.0132,2927.0
2016-07-07,2923.550666600705,2923.168212890625,2943.6797998218212,2933.1642354466376,2933.2994789945615,2950.2295,2951.9134796457097,,,,2945.3176,2898.3604,2867.573,2961.5
2016-07-08,2916.654644191383,2922.900146484375,2954.2023132970057,2944.7798739087257,2944.1901100115247,2941.1743,2944.6777394360124,,,,2953.8677,2914.231,2865.5222,2946.699951171875
2016-07-11,2904.892566482045,2927.37060546875,2953.376258780308,2951.802234506498,2942.9070594008786,2943.7852,2938.33895303427,,,,2945.6023,2903.937,2878.612,2935.0
2016-07-12,2912.5358218868996,2941.218994140625,2924.62699628898,2932.62937592352,2922.0968621748934,2918.5256,2907.8257497032073,,,,2951.6487,2917.062,2892.94,2899.10009765625
2016-07-13,2908.242934513607,2941.54541015625,2892.2678781167456,2900.6987858683087,2896.765646792185,2888.55,2883.3852356249868,,,,2912.4075,2890.4712,2876.1917,2872.199951171875
2016-07-14,2904.635979463612,2943.78759765625,2872.5154013805477,2879.0582128523342,2877.935673127638,2876.7173,2884.797310996335,,,,2906.9448,2865.2573,2848.74,2890.5
2016-07-15,2899.8507307313766,2944.2509765625,2882.5546621043895,2888.1471289575857,2892.276404010305,2886.8728,2894.1169126998498,,,,2900.7493,2868.8132,2830.5613,2898.60009765625
2016-07-18,2896.5266881281964,2950.3603515625,2889.3132552275483,2891.8683183214976,2882.79960609937,2881.5356,2876.918238867937,,,,2913.7454,2862.9556,2841.1123,2871.0
2016-07-19,2907.498584713607,2964.56005859375,2889.437595565393,2881.3214567445957,2883.019811868687,2887.5596,2884.6142087151793,,,,2911.5032,2870.2173,2848.8376,2885.5
2016-07-20,2906.683409740107,2965.13671875,2876.565944196579,2885.67566365388,2880.964372249193,2884.0332,2881.1517719614003,,,,2888.3826,2862.651,2845.3984,2881.89990234375
2016-07-21,2906.631377584144,2967.528076171875,2882.340696368238,2886.5767445141655,2879.4743342215424,2877.8713,2878.6569767741858,,,,2893.3757,2851.3943,2828.4065,2879.800048828125
2016-07-22,2907.0439265554032,2968.0390625,2889.9888856687494,2884.357807459054,2877.5842980656535,2886.6343,2893.724809368033,,,,2884.6711,2851.089,2807.9675,2906.39990234375
2016-07-25,2918.59589427483,2973.694091796875,2900.2865323473716,2902.5868022204445,2906.752902772451,2909.2056,2905.2156335557465,,,,2912.1863,2860.6782,2837.2822,2903.89990234375
2016-07-26,2934.0541800981487,2987.55029296875,2981.959540941408,2939.628561689386,2982.993999118334,2995.1394,3020.5723397451275,,,,2947.1826,2899.257,2870.57,3061.0
2016-07-27,2937.3842803386515,2987.693115234375,3044.4869103769356,3036.4655961003505,3039.125782791167,3072.0674,3069.9264787866578,,,,3007.8315,2967.3088,2933.8245,3080.0
2016-07-28,2941.0832927218567,2989.563720703125,3097.103427026164,3064.5374845231313,3052.2627106522837,3055.1536,3043.958100515904,,,,3061.7444,3002.9446,2959.2776,3039.199951171875
2016-07-29,2943.168115238459,2989.472412109375,3050.8664290600227,3036.2631234679116,3047.4877940265774,3049.5164,3039.104667879538,,,,3038.658,3008.7595,2948.6675,3031.89990234375
2016-08-01,2956.7941854213545,2992.883056640625,3021.611476960069,3034.2171001337447,3019.344616861971,3042.1296,3029.35000726813,,,,3038.9062,2976.9062,2933.1614,3027.0
2016-08-02,2971.911053562774,3005.865234375,3035.118013538422,3036.757501452269,3028.748874608795,3033.5833,3034.3044956878794,,,,3055.8264,3012.308,2972.0352,3038.10009765625
2016-08-03,2974.383559684747,3005.08203125,3049.789395372984,3039.5305614380063,3045.7029842665784,3040.0503,3059.1993926702326,,,,3048.742,3005.3313,2985.2852,3070.89990234375
2016-08-04,2976.7244073467823,3005.981689453125,3069.922065029059,3070.246538734173,3070.8781355058914,3050.152,3070.6583137591047,,,,3089.4602,3029.1406,2991.97,3081.0
2016-08-05,2976.9758337440353,3004.881103515625,3075.9759653779192,3079.4012869177486,3070.0294334536293,3077.1162,3062.265491797183,,,,3084.1204,3052.6228,2986.3508,3054.10009765625
2016-08-08,2982.6334955875345,3005.10693359375,3035.822298824829,3043.1740828301267,3039.843689216538,3039.515,3016.209646512286,,,,3077.778,3025.8174,3002.3813,2992.0
