date,Prophet_forecast,NeuralProphet_forecast,ElasticNet_forecast,Gboosting_forecast,XGBoost_forecast,Stacking_ml_forecast,Stacking_dl_forecast,Stacking_ml-dl_forecast,Ensemble_forecast,close,RNN_forecast,LSTM_forecast,BidirectionalLSTM_forecast,ESM_forecast,Ensemble_ml_forecast,Ensemble_dl_forecast,Ensemble_ml_dl_forecast,Weighted_ml_forecast,Weighted_dl_forecast,Weighted_ml_dl_forecast
2022-11-11,4375.496376434965,4365.7998046875,4810.963031118568,4419.205042386502,4409.431,4801.706166916599,4926.158599973614,4801.614972787705,4549.150666701679,4801.169921875,5194.143,5074.3027,5121.015,4725.995939724628,4546.53307528294,5129.820233333333,4838.176654308137,4548.005983081319,5129.773048506912,4838.823075515389
2022-11-14,4379.368687916101,4365.42333984375,4727.53797169567,4419.205042386502,4392.85,4717.377250622649,4881.995125179399,4717.29146959357,4519.193223045961,4716.70263671875,5122.9644,5020.2695,5003.3364,4740.614081597662,4513.197703912808,5048.856766666667,4781.027235289737,4514.397278196144,5048.776315126461,4781.525768297427
2022-11-15,4391.831462038116,4377.3876953125,4797.441046629661,4423.714586565513,4410.911,4803.021911457624,4842.7984869753855,4802.930889566396,4546.472910983106,4803.56005859375,5066.1724,4968.9194,4961.242,4745.49683663126,4544.022255335892,4998.777933333334,4771.400094334612,4545.434887120028,4998.707616969825,4772.019486367046
2022-11-16,4392.90789178402,4379.2578125,4839.085469144176,4419.205042386502,4458.544,4843.42865558004,4815.437759182418,4843.334894409334,4570.509138445963,4843.93017578125,5040.0522,4900.7637,4905.42,4750.384620822748,4572.278152281059,4948.7453000000005,4760.511726140529,4573.749161589685,4948.655586877352,4761.159558321666
2022-11-17,4391.703519006243,4375.783203125,4930.194720214338,4419.205042386502,4409.0063,4938.0209086486575,4887.400412993129,4937.9211383546435,4586.879751869019,4938.81005859375,5036.5825,4950.7295,4947.004,4755.2774393520785,4586.135370085697,4978.105333333334,4782.1203517095155,4588.0510485149725,4978.0454035270295,4783.003687003258
2022-11-18,4390.685678985281,4375.892578125,4992.550688277564,4419.205042386502,4409.431,4998.425719754072,4906.554929632719,4998.32202892605,4609.679885754677,4999.169921875,5090.245,5008.962,5055.4053,4760.175297404537,4607.0622943359385,5051.537433333334,4829.299863834636,4609.208135740501,5051.515799075266,4830.311453987339
2022-11-21,4387.748538731337,4370.60546875,4987.273463610392,4419.205042386502,4392.85,4986.860250123085,4929.735699602004,4986.757350063812,4605.771720350868,4987.080078125,5121.796,5087.787,5105.6396,4774.899160633675,4599.7762012177145,5105.0742,4852.425200608857,4601.938311963952,5105.064038618392,4853.443716188552
2022-11-22,4397.737037346201,4380.89990234375,4949.767241719965,4423.714586565513,4410.911,4946.192256882655,4921.737949995366,4946.092140030073,4597.248309346541,4946.25,5189.3374,5142.199,5200.206,4779.817228738398,4594.797653699326,5177.247466666667,4886.022560182996,4596.7747809859775,5177.256749960125,4886.949471957817
2022-11-23,4396.292066772197,4381.103515625,4908.283786798796,4419.205042386502,4458.544,4905.02669539915,4874.780001654295,4904.929021184929,4593.5752443308365,4905.009765625,5186.648,5061.6206,5125.92,4784.740362372898,4595.344258165933,5124.729533333333,4860.036895749633,4597.071704911827,5124.691241129267,4860.821216620467
2022-11-24,4392.554311877068,4375.978515625,4884.065597599874,4419.205042386502,4409.0063,4881.58239102327,4868.314729371234,4881.486206011776,4571.503377664198,4881.60986328125,5155.1987,5055.591,5082.7896,4789.668566754588,4570.758995880876,5097.859766666667,4834.309381273771,4572.503727466534,5097.812379601814,4835.098061046906
2022-11-25,4389.02664929576,4374.46435546875,4898.551995731204,4419.205042386502,4409.431,4899.535920297839,4872.375007543244,4899.438511489336,4578.346988239225,4899.81005859375,5117.9883,5018.168,5059.154,4794.601847106255,4575.729396820486,5065.103433333333,4820.41641507691,4577.526894730004,5065.065590319201,4821.240563527371
2022-11-28,4379.047197132111,4364.5888671875,4867.388718927408,4419.205042386502,4392.85,4863.89685357778,4845.919455789555,4863.801764824238,4565.810138789874,4863.81982421875,5087.7236,5019.2393,5027.999,4809.43219628971,4559.81461965672,5044.9873,4802.40095982836,4561.532457511131,5044.94773609831,4803.184888719287
2022-11-29,4386.957562749706,4373.4794921875,4837.6765752206975,4423.714586565513,4410.911,4833.469123747168,4849.454538940568,4833.376167682923,4559.884753846784,4833.33984375,5097.2637,5037.71,5067.378,4814.385832856824,4557.43409819957,5067.450566666666,4812.442332433118,4558.995836149705,5067.4316531072855,4813.155679090927
2022-11-30,4383.6159616049545,4372.359375,4812.704511195718,4419.205042386502,4458.544,4809.425616058369,4861.529644452765,4809.334014946225,4561.715485796477,4809.33984375,5061.8765,4906.913,4984.495,4819.344571588652,4563.484499631573,4984.428166666666,4773.95633314912,4564.857745504927,4984.379221477735,4774.570572350512
2022-12-01,4378.185906037658,4365.9970703125,4827.415659618127,4416.462821329482,4408.2544,4828.086271032674,4846.465884871655,4827.9930905966885,4551.943617885422,4828.2998046875,5039.47,4963.4365,4872.573,4824.308417740336,4550.710958492953,4958.493166666667,4754.60206257981,4552.251616787774,4958.378575515621,4755.268714721844
2022-12-02,4373.188835660427,4363.33935546875,4789.6854501883845,4416.462821329482,4408.679,4785.644043189531,4844.797335799289,4785.553476712664,4541.381692606758,4785.580078125,5008.171,4932.675,4921.9116,4829.27737657244,4538.275823578872,4954.252533333333,4746.264178456103,4539.675742148856,4954.1945732177965,4746.88781786588
2022-12-05,4360.252345972451,4350.6494140625,4773.775388148204,4416.462821329482,4392.098,4771.802486596068,4806.23345898152,4771.712854195809,4533.9292480786125,4771.85009765625,4963.7983,4915.7163,4871.741,4844.214981838152,4527.445451336312,4917.0852,4722.265325668156,4528.822235724023,4917.022208395215,4722.8778879679885
2022-12-06,4367.673198280199,4358.8212890625,4818.769714104181,4420.972365508493,4409.562,4822.8899627923065,4797.619362176791,4822.797285532521,4553.08440510642,4823.3701171875,4946.4414,4928.833,4913.749,4849.204444105967,4549.768030443808,4929.674466666666,4739.721248555236,4551.266854929251,4929.652115027859,4740.416271768938
2022-12-07,4364.083407265621,4357.095703125,4830.263486714606,4416.462821329482,4458.112,4830.7380051593245,4802.498361026845,4830.6446574662705,4566.978944580414,4831.009765625,4957.969,4875.9277,4882.446,4854.199045438378,4568.27937481678,4905.447566666667,4736.863470741723,4569.722862241813,4905.397377934439,4737.521784627579
