Ridge_forecast,Lasso_forecast,GradientBoostingRegressor_forecast,XGBRegressor_forecast,RNN_forecast,LSTM_forecast,BidirectionalLSTM_forecast
2876.8474570421336,2884.491116974528,2872.217656426842,2875.86962890625,2838.7236328125,2924.709228515625,2729.154541015625
2870.6046292782976,2842.97086609375,2900.4647734606842,2881.699951171875,2845.6943359375,2934.832763671875,2734.27587890625
2914.613558425685,2897.0849208211325,2908.4920505215205,2895.555908203125,2839.943359375,2935.725341796875,2734.36376953125
2893.645570169947,2889.482994231253,2883.04057673074,2856.07373046875,2843.029296875,2946.506103515625,2739.69482421875
2910.063373993665,2868.1090366450712,2851.465909011239,2845.186767578125,2848.149169921875,2931.71728515625,2744.787353515625
2896.591314753811,2887.6722667518093,2864.8128708551594,2841.443359375,2840.155029296875,2955.282470703125,2739.763671875
2902.809191110634,2890.245732016499,2854.868915915624,2842.78564453125,2864.5595703125,2940.009033203125,2752.346435546875
2925.7465929964565,2917.983529125198,2889.100150457772,2887.775390625,2847.68701171875,2959.04345703125,2754.924560546875
2925.5620622246156,2928.755893255771,2890.1867538618876,2888.815673828125,2869.237060546875,2955.638916015625,2755.9443359375
2945.8731194828697,2975.9679822753346,2915.344568171863,2912.361572265625,2868.462890625,2960.783935546875,2769.8505859375
2962.88589842261,2974.2051628478434,2962.735324167311,2953.120361328125,2881.547607421875,2982.387939453125,2781.755126953125
2981.6911178302585,2969.234093496412,2949.406076422142,2956.06494140625,2897.993896484375,2987.581298828125,2795.79248046875
2961.7309552385436,2952.0015948950945,2949.267138424851,2951.90185546875,2906.408203125,3007.254150390625,2807.857177734375
2931.6613679784114,2914.9039958633525,2948.4926627674804,2942.323974609375,2918.2216796875,2998.0625,2811.267578125
2943.304370127685,2996.0623845635487,2929.6062820341176,2939.700927734375,2919.7119140625,3009.619873046875,2808.6884765625
2960.840286479401,2979.0303250832562,2960.847387402749,2974.51416015625,2936.264404296875,3016.982177734375,2822.7685546875
3005.002929885131,2982.295799187555,2967.819883224574,2978.74853515625,2929.24462890625,3031.231689453125,2826.489990234375
2985.473732109958,2992.697401039111,2956.2623738215852,2971.56494140625,2941.21630859375,3041.928466796875,2827.174072265625
2971.5702155648987,2964.4140362920657,2970.427762205392,2968.9912109375,2949.516845703125,3038.021240234375,2844.436767578125
2939.7795983733745,2911.0783975114023,2974.0902836473474,2968.900390625,2941.534423828125,3057.609130859375,2838.53466796875
2894.720264424562,2875.7290200480543,2922.656681223233,2920.5009765625,2953.37255859375,3039.235595703125,2831.454833984375
2893.70103784018,2911.131255646447,2884.308555690235,2882.428466796875,2933.46337890625,3030.044677734375,2820.264892578125
2908.8828599585413,2914.116726648733,2929.8756363549705,2935.522705078125,2930.78857421875,3019.97021484375,2804.0556640625
2923.3880512266214,2917.69524502561,2900.0946181874083,2895.884521484375,2918.15576171875,3018.591552734375,2798.68798828125
2914.909319743301,2916.938180964394,2900.6542296301154,2894.85009765625,2909.258544921875,3019.140380859375,2783.577880859375
2899.445574014971,2874.8075001730335,2891.2949241400797,2880.595458984375,2903.8525390625,3007.456787109375,2787.178955078125
2899.4998237774,2909.6292994457303,2880.086340147569,2870.26171875,2896.26513671875,3006.473876953125,2787.3095703125
2894.3113067220606,2905.686669226317,2899.1119282488216,2884.4169921875,2899.63916015625,2995.803955078125,2789.684326171875
2900.6330830904935,2877.6552965760416,2897.2157058904263,2890.14111328125,2885.715087890625,2990.146728515625,2783.58984375
2884.8826455210474,2884.8208511460375,2904.905058892855,2904.088623046875,2883.820556640625,2982.267822265625,2766.368896484375
2860.466214588107,2847.1017073447942,2881.0930974018547,2865.845458984375,2883.892578125,2966.7197265625,2768.803955078125
2872.2244422412555,2869.335329475652,2856.6213138535804,2865.957763671875,2868.1904296875,2974.970458984375,2759.490478515625
2860.813771080865,2864.516823315225,2875.6677113706664,2885.157958984375,2874.25048828125,2966.502685546875,2757.409423828125
2865.7757357300793,2857.9819100490527,2866.350149679424,2869.9462890625,2859.66748046875,2961.42333984375,2757.01953125
2854.7503738722676,2853.9133915014877,2873.5592076338826,2877.257568359375,2852.755615234375,2959.839599609375,2740.24365234375
2855.041170758601,2860.3863285906477,2857.8584811687315,2860.61376953125,2855.3671875,2945.392822265625,2742.74560546875
2864.44884524619,2860.93249593457,2867.9925785511496,2863.22216796875,2844.730224609375,2952.257080078125,2742.7392578125
2872.806344550011,2874.948842086574,2889.1551340959745,2871.793212890625,2848.31103515625,2945.687255859375,2739.463134765625
